User: Vannucci

00 Run_Number: 02

01 Start Field: 0.5
02 Field Sweep: 0.0002
03 Record Step Field: 0.005
04 End Field: -0.5
05 Double Linear (y/n): n

06 CurrBias Lock-in Sens: 1e-6
07 Current Bias Resistor: 99.90e6
08 Lock-in Output Voltage: 0.2
09 Additional Lock-in Volt Gain: 1
10 Averaging: 5

11 User: Vannucci
12 Save Name: S-Si0022-V_C3_30V_0p5_-0p5
13 TimeStamp (y/n): y
14 Comments: 

Gate Voltage = 30V for a Magnetic Field Sweep.
MEASURING --X-- ON LOCK-IN
Hall Measurement between 28 and 25 using current biasing of 26 and 7GND
temp = 50mk

Collected Data
Time, Field, Gate Voltage, Gate Current, Device Voltage, Device Current, Device Conductane, Device Resistance
s, T, V, A, V, A, S, Ohms
2.56900000572,0.5,29.99544,6.659654e-11,1.458579646e-07,2.002002002e-09,0.0137256954565,72.8560533177
31.5069999695,0.495,29.99553,5.954003e-11,1.468076154e-07,2.002002002e-09,0.0136369083889,73.3304038923
61.9769999981,0.49,29.99558,6.781824e-11,1.42216338e-07,2.002002002e-09,0.014077158997,71.037060831
91.7929999828,0.485,29.9955,6.391433e-11,1.491459716e-07,2.002002002e-09,0.0134231047646,74.4984128142
123.779999971,0.48,29.99557,6.52765e-11,1.550081008e-07,2.002002002e-09,0.0129154669444,77.4265463496
153.802999973,0.475,29.99561,6.906809e-11,1.68736824e-07,2.002002002e-09,0.0118646419587,84.284043588
183.828999996,0.47,29.99551,6.163234e-11,1.566299056e-07,2.002002002e-09,0.0127817353546,78.2366378472
213.962000132,0.465,29.99551,7.099892e-11,1.607506562e-07,2.002002002e-09,0.0124540829215,80.2949527719
243.236000061,0.46,29.99548,6.551524e-11,1.708560978e-07,2.002002002e-09,0.0117174746923,85.3426208511
274.792000055,0.455,29.99555,7.071103e-11,1.731782564e-07,2.002002002e-09,0.0115603543056,86.5025390718
303.26699996,0.45,29.99554,6.479198e-11,1.752239076e-07,2.002002002e-09,0.0114253929696,87.5243418462
332.523999929,0.445,29.99544,6.637877e-11,1.759884082e-07,2.002002002e-09,0.011375760611,87.9062098959
362.325000048,0.44,29.99544,6.759344e-11,1.881064472e-07,2.002002002e-09,0.0106429207069,93.9591703764
392.460999966,0.435,29.99554,6.882225e-11,1.817317358e-07,2.002002002e-09,0.0110162487206,90.7750020321
422.53399992,0.43,29.99553,6.56907e-11,1.992597994e-07,2.002002002e-09,0.0100471947078,99.5302698003
453.161999941,0.425,29.99552,6.802185e-11,1.858647546e-07,2.002002002e-09,0.010771283702,92.8394449227
483.63499999,0.42,29.99553,6.564863e-11,1.882771022e-07,2.002002002e-09,0.0106332739277,94.0444125489
513.992000103,0.415,29.99557,6.680009e-11,1.90814757e-07,2.002002002e-09,0.0104918614969,95.3119711215
543.006999969,0.41,29.99554,6.901887e-11,2.001492708e-07,2.002002002e-09,0.0100025445709,99.9745607646
572.169000149,0.405,29.99555,6.854838e-11,1.952759706e-07,2.002002002e-09,0.0102521677186,97.5403473147
601.874000072,0.4,29.99549,7.104098e-11,1.964117634e-07,2.002002002e-09,0.0101928823781,98.1076758183
631.226999998,0.395,29.99553,6.52343e-11,1.984460866e-07,2.002002002e-09,0.0100883924511,99.1238202567
659.730999947,0.39,29.99555,7.028972e-11,1.992328034e-07,2.002002002e-09,0.0100485561004,99.5167852983
689.322999954,0.385,29.99562,6.908905e-11,1.934688114e-07,2.002002002e-09,0.0103479314703,96.6376712943
719.686000109,0.38,29.99555,6.550115e-11,1.996186782e-07,2.002002002e-09,0.0100291316427,99.7095297609
