User: Vannucci

00 Run_Number: 03

01 Start Field: -0.5
02 Field Sweep: 0.0002
03 Record Step Field: 0.005
04 End Field: +0.5
05 Double Linear (y/n): n

06 CurrBias Lock-in Sens: 1e-6
07 Current Bias Resistor: 99.90e6
08 Lock-in Output Voltage: 0.2
09 Additional Lock-in Volt Gain: 1
10 Averaging: 5

11 User: Vannucci
12 Save Name: S-Si0022-V_C3_30V_-0p5_+0p5
13 TimeStamp (y/n): y
14 Comments: 

Gate Voltage = 30V for a Magnetic Field Sweep.
MEASURING --X-- ON LOCK-IN
Hall Measurement between 28 and 25 using current biasing of 26 and 7GND
temp = 50mk

Collected Data
Time, Field, Gate Voltage, Gate Current, Device Voltage, Device Current, Device Conductane, Device Resistance
s, T, V, A, V, A, S, Ohms
2.89700007439,-0.5,29.99549,7.104799e-11,4.10017774e-07,2.002002002e-09,0.00488272004033,204.803878113
33.0169999599,-0.495,29.99549,6.616099e-11,4.133158722e-07,2.002002002e-09,0.00484375785364,206.451278164
63.3830001354,-0.49,29.99535,6.588718e-11,4.170386828e-07,2.002002002e-09,0.00480051871582,208.310822059
92.0570001602,-0.485,29.99549,7.315432e-11,4.096029942e-07,2.002002002e-09,0.00488766447109,204.596695603
122.863000154,-0.48,29.99538,6.896256e-11,4.07324777e-07,2.002002002e-09,0.00491500177511,203.458726111
151.993000031,-0.475,29.99555,6.992451e-11,4.106335408e-07,2.002002002e-09,0.00487539814235,205.11145363
182.335999966,-0.47,29.99545,7.066173e-11,3.957650064e-07,2.002002002e-09,0.00505856245405,197.684620697
212.854000092,-0.465,29.9955,6.932064e-11,4.00284378e-07,2.002002002e-09,0.00500144924967,199.942046811
244.522000074,-0.46,29.9955,6.823232e-11,3.911377668e-07,2.002002002e-09,0.00511840628017,195.373314517
273.812999964,-0.455,29.99535,6.923636e-11,3.987865058e-07,2.002002002e-09,0.00502023507036,199.193859647
304.443000078,-0.45,29.99551,6.898357e-11,4.11755061e-07,2.002002002e-09,0.0048621187488,205.67165297
333.490999937,-0.445,29.9955,7.023337e-11,4.040594942e-07,2.002002002e-09,0.00495472085359,201.827717353
363.627000093,-0.44,29.99545,7.00579e-11,4.081702542e-07,2.002002002e-09,0.00490482092069,203.881041973
392.756000042,-0.435,29.99555,6.982616e-11,4.130147484e-07,2.002002002e-09,0.00484728937588,206.300866826
421.150000095,-0.43,29.99539,6.854123e-11,4.000446408e-07,2.002002002e-09,0.00500444649877,199.82229808
450.502000093,-0.425,29.99551,6.953832e-11,4.036937012e-07,2.002002002e-09,0.00495921040148,201.645003749
481.532000065,-0.42,29.99545,6.374566e-11,4.071169656e-07,2.002002002e-09,0.0049175106202,203.354924317
511.538000107,-0.415,29.99547,6.93909e-11,4.061634652e-07,2.002002002e-09,0.00492905485976,202.878650867
540.779000044,-0.41,29.99559,6.695449e-11,4.05978688e-07,2.002002002e-09,0.00493129827052,202.786354656
570.690999985,-0.405,29.99557,7.071792e-11,4.171738112e-07,2.002002002e-09,0.00479896376104,208.378318694
599.947000027,-0.4,29.99538,7.355452e-11,4.19540028e-07,2.002002002e-09,0.00477189747912,209.560243986
