User: Vannucci

00 Run_Number: 01

01 Start Field: 0.415
02 Field Sweep: 0.001
03 Record Step Field: 0.005
04 End Field: 1
05 Double Linear (y/n): n

06 CurrBias Lock-in Sens: 50e-6
07 Current Bias Resistor: 1.015e6
08 Lock-in Output Voltage: 0.1
09 Additional Lock-in Volt Gain: 1
10 Averaging: 5

11 User: Vannucci
12 Save Name: S-Si0023-V_B1_30V_0_+1
13 TimeStamp (y/n): y
14 Comments: 

Gate Voltage = 30V for a Magnetic Field Sweep.
MEASURING --X-- ON LOCK-IN
Hall Measurement between 24 and 34 using current biasing of 36 and 23GND
temp = 1k

Collected Data
Time, Field, Gate Voltage, Gate Current, Device Voltage, Device Current, Device Conductane, Device Resistance
s, T, V, A, V, A, S, Ohms
10.3429999352,0.415,29.99608,1.516528e-11,-2.005344729e-05,9.85221674877e-08,-0.00491297910344,-203.542489993
21.6929998398,0.42,29.99609,1.911758e-11,-2.043412651e-05,9.85221674877e-08,-0.00482145236007,-207.406384077
32.8019998074,0.425,29.99605,1.955985e-11,-2.085107276e-05,9.85221674877e-08,-0.00472504070278,-211.638388514
43.3729999065,0.43,29.99598,1.697648e-11,-2.131096711e-05,9.85221674877e-08,-0.00462307350854,-216.306316166
55.3009998798,0.435,29.99612,2.097789e-11,-2.166150347e-05,9.85221674877e-08,-0.00454826081782,-219.86426022
68.5690000057,0.44,29.99603,1.893506e-11,-2.205103873e-05,9.85221674877e-08,-0.00446791503539,-223.81804311
79.2649998665,0.445,29.99604,1.891401e-11,-2.242780925e-05,9.85221674877e-08,-0.00439285738475,-227.642263888
90.5849997997,0.45,29.99603,2.23889e-11,-2.27851136e-05,9.85221674877e-08,-0.00432397087051,-231.26890304
102.895999908,0.455,29.9961,1.865427e-11,-2.326191565e-05,9.85221674877e-08,-0.00423534196281,-236.108443847
113.606999874,0.46,29.99602,1.784697e-11,-2.350467395e-05,9.85221674877e-08,-0.00419159898569,-238.572440593
124.27699995,0.465,29.99613,1.62464e-11,-2.390346558e-05,9.85221674877e-08,-0.00412166876631,-242.620175637
135.932999849,0.47,29.99601,1.211115e-11,-2.426898509e-05,9.85221674877e-08,-0.0040595915784,-246.330198663
146.290999889,0.475,29.99603,1.243411e-11,-2.46692445e-05,9.85221674877e-08,-0.00399372455398,-250.392831675
158.394999981,0.48,29.9961,1.258155e-11,-2.511617188e-05,9.85221674877e-08,-0.00392265859457,-254.929144582
169.694000006,0.485,29.99606,1.367683e-11,-2.547763869e-05,9.85221674877e-08,-0.00386700544295,-258.598032703
181.666999817,0.49,29.99594,1.859108e-11,-2.60043935e-05,9.85221674877e-08,-0.00378867392111,-263.944594025
194.013999939,0.495,29.99605,1.27992e-11,-2.632674272e-05,9.85221674877e-08,-0.0037422847382,-267.216438608
205.671000004,0.5,29.99601,2.092172e-11,-2.666486167e-05,9.85221674877e-08,-0.00369483137422,-270.648345951
218.323999882,0.505,29.99605,1.310111e-11,-2.706444328e-05,9.85221674877e-08,-0.00364028058765,-274.704099292
230.274999857,0.51,29.99605,1.769252e-11,-2.762495767e-05,9.85221674877e-08,-0.00356641876757,-280.39332035
241.26699996,0.515,29.99601,1.836645e-11,-2.776950455e-05,9.85221674877e-08,-0.00354785470912,-281.860471183
253.405999899,0.52,29.9961,1.921587e-11,-2.839659505e-05,9.85221674877e-08,-0.00346950637266,-288.225439757
