User: Vannucci

00 Run_Number: 05

01 Start Field: -1
02 Field Sweep: 0.0005
03 Record Step Field: 0.01
04 End Field: 1
05 Double Linear (y/n): n

06 CurrBias Lock-in Sens: 50e-6
07 Current Bias Resistor: 1.009e9
08 Lock-in Output Voltage: 1
09 Additional Lock-in Volt Gain: 1
10 Averaging: 5

11 User: Vannucci
12 Save Name: S-Si0023-V_B1_20V_-1_+1
13 TimeStamp (y/n): y
14 Comments: 

Gate Voltage = 20V for a Magnetic Field Sweep.
MEASURING --X-- ON LOCK-IN
Hall Measurement between 34 and 35 using current biasing of 36 and 23GND
temp = 1k

Collected Data
Time, Field, Gate Voltage, Gate Current, Device Voltage, Device Current, Device Conductane, Device Resistance
s, T, V, A, V, A, S, Ohms
350.836999893,-1.0,19.9993,1.190052e-11,-1.799687619e-05,9.91080277502e-10,-5.50695724658e-05,-18158.8480757
376.273999929,-0.99,19.99929,9.085116e-12,-1.801976967e-05,9.91080277502e-10,-5.49996085218e-05,-18181.947597
401.244999886,-0.98,19.99929,7.59667e-12,-1.800937743e-05,9.91080277502e-10,-5.50313458283e-05,-18171.4618269
427.14199996,-0.97,19.9993,1.003295e-11,-1.80342261e-05,9.91080277502e-10,-5.49555202428e-05,-18196.5341349
453.332999945,-0.96,19.99931,1.052441e-11,-1.802568154e-05,9.91080277502e-10,-5.49815703391e-05,-18187.9126739
478.174999952,-0.95,19.99929,8.958742e-12,-1.806272459e-05,9.91080277502e-10,-5.48688140908e-05,-18225.2891113
503.911000013,-0.94,19.99931,8.081115e-12,-1.805420365e-05,9.91080277502e-10,-5.48947102135e-05,-18216.6914829
530.832999945,-0.93,19.99932,7.877504e-12,-1.805790618e-05,9.91080277502e-10,-5.48834547939e-05,-18220.4273356
556.803999901,-0.92,19.99931,9.113193e-12,-1.805213263e-05,9.91080277502e-10,-5.49010079759e-05,-18214.6018237
582.195999861,-0.91,19.99929,1.02506e-11,-1.806281845e-05,9.91080277502e-10,-5.48685289755e-05,-18225.383816
607.822000027,-0.9,19.99933,8.095151e-12,-1.805352433e-05,9.91080277502e-10,-5.48967757977e-05,-18216.006049
635.654000044,-0.89,19.99932,7.435177e-12,-1.80859188e-05,9.91080277502e-10,-5.47984478125e-05,-18248.6920692
660.845999956,-0.88,19.99929,1.07561e-11,-1.807512341e-05,9.91080277502e-10,-5.48311762538e-05,-18237.7995207
686.672999859,-0.87,19.99929,7.807296e-12,-1.809554811e-05,9.91080277502e-10,-5.47692875329e-05,-18258.408043
712.078999996,-0.86,19.9993,1.21603e-11,-1.81034865e-05,9.91080277502e-10,-5.47452711666e-05,-18266.4178785
737.921000004,-0.85,19.99931,9.955712e-12,-1.810613958e-05,9.91080277502e-10,-5.47372493802e-05,-18269.0948362
763.011999846,-0.84,19.99932,1.221647e-11,-1.812347985e-05,9.91080277502e-10,-5.46848776121e-05,-18286.5911687
789.937999964,-0.83,19.99932,1.176712e-11,-1.811695994e-05,9.91080277502e-10,-5.47045575408e-05,-18280.0125795
816.444999933,-0.82,19.99929,1.047527e-11,-1.812132137e-05,9.91080277502e-10,-5.4691391277e-05,-18284.4132623
842.635999918,-0.81,19.99928,1.079823e-11,-1.812062608e-05,9.91080277502e-10,-5.46934897904e-05,-18283.7117147
867.463000059,-0.8,19.99931,7.013915e-12,-1.814737377e-05,9.91080277502e-10,-5.46128762246e-05,-18310.7001339
893.859999895,-0.79,19.9993,7.505389e-12,-1.813516464e-05,9.91080277502e-10,-5.46496432305e-05,-18298.3811218
919.566999912,-0.78,19.99931,9.035959e-12,-1.815686614e-05,9.91080277502e-10,-5.45843247321e-05,-18320.2779353
946.414000034,-0.77,19.9993,9.267656e-12,-1.814768087e-05,9.91080277502e-10,-5.46119520506e-05,-18311.0099978
972.359999895,-0.76,19.99932,7.786215e-12,-1.815501029e-05,9.91080277502e-10,-5.45899044766e-05,-18318.4053826
997.316999912,-0.75,19.9993,1.01523e-11,-1.817397615e-05,9.91080277502e-10,-5.45329359587e-05,-18337.5419354
1023.69799995,-0.74,19.99932,8.790219e-12,-1.817471232e-05,9.91080277502e-10,-5.45307270923e-05,-18338.2847309
1050.09500003,-0.73,19.99928,9.892524e-12,-1.819344656e-05,9.91080277502e-10,-5.44745754596e-05,-18357.187579
1077.14199996,-0.72,19.99931,1.31643e-11,-1.8193935e-05,9.91080277502e-10,-5.44731130183e-05,-18357.680415
1102.32299995,-0.71,19.99932,9.464238e-12,-1.821808385e-05,9.91080277502e-10,-5.44009065752e-05,-18382.0466047
1130.02999997,-0.7,19.9993,1.043314e-11,-1.821306371e-05,9.91080277502e-10,-5.44159013158e-05,-18376.9812834
1156.1559999,-0.69,19.99931,1.072802e-11,-1.821512291e-05,9.91080277502e-10,-5.44097496569e-05,-18379.0590162
1181.60800004,-0.68,19.99929,1.111418e-11,-1.822888881e-05,9.91080277502e-10,-5.4368661076e-05,-18392.9488093
1206.47000003,-0.67,19.99931,8.916604e-12,-1.823590509e-05,9.91080277502e-10,-5.43477426874e-05,-18400.0282358
1231.53600001,-0.66,19.99932,8.544489e-12,-1.824745331e-05,9.91080277502e-10,-5.43133477678e-05,-18411.6803898
1258.47799993,-0.65,19.99932,9.927619e-12,-1.82340131e-05,9.91080277502e-10,-5.4353381895e-05,-18398.1192179
1287.71399999,-0.64,19.99931,9.169359e-12,-1.826756215e-05,9.91080277502e-10,-5.42535599093e-05,-18431.9702094
1313.41100001,-0.63,19.9993,1.041208e-11,-1.825644899e-05,9.91080277502e-10,-5.42865854168e-05,-18420.7570309
1340.42700005,-0.62,19.9993,1.093163e-11,-1.827598088e-05,9.91080277502e-10,-5.42285683056e-05,-18440.4647079
1368.01900005,-0.61,19.99932,7.821323e-12,-1.829632415e-05,9.91080277502e-10,-5.4168272784e-05,-18460.9910674
1394.84599996,-0.6,19.9993,1.054547e-11,-1.830118501e-05,9.91080277502e-10,-5.41538854976e-05,-18465.8956751
1419.91700006,-0.59,19.99931,1.135288e-11,-1.82938734e-05,9.91080277502e-10,-5.417552947e-05,-18458.5182606
1446.40899992,-0.58,19.99931,1.156351e-11,-1.831857654e-05,9.91080277502e-10,-5.41024721729e-05,-18483.4437289
1471.26999998,-0.57,19.9993,9.197444e-12,-1.832594018e-05,9.91080277502e-10,-5.40807329811e-05,-18490.8736416
1496.00099993,-0.56,19.99931,1.065079e-11,-1.834115574e-05,9.91080277502e-10,-5.40358683799e-05,-18506.2261417
1521.61299992,-0.55,19.99932,1.072802e-11,-1.83584126e-05,9.91080277502e-10,-5.39850748045e-05,-18523.6383134
1550.86899996,-0.54,19.9993,1.087546e-11,-1.835878119e-05,9.91080277502e-10,-5.39839909439e-05,-18524.0102207
1576.04499984,-0.53,19.9993,1.027166e-11,-1.835859744e-05,9.91080277502e-10,-5.39845312662e-05,-18523.824817
1601.78699994,-0.52,19.9993,8.79725e-12,-1.836200885e-05,9.91080277502e-10,-5.39745016789e-05,-18527.2669296
1626.85899997,-0.51,19.9993,9.808274e-12,-1.836953274e-05,9.91080277502e-10,-5.39523945181e-05,-18534.8585347
1652.80599999,-0.5,19.9993,7.547516e-12,-1.839660244e-05,9.91080277502e-10,-5.38730062105e-05,-18562.171862
1677.68199992,-0.49,19.9993,8.741082e-12,-1.839625345e-05,9.91080277502e-10,-5.38740282197e-05,-18561.819731
1703.07799983,-0.48,19.99927,1.048931e-11,-1.839060328e-05,9.91080277502e-10,-5.38905800105e-05,-18556.1187095
1728.50999999,-0.47,19.99931,8.677889e-12,-1.840426159e-05,9.91080277502e-10,-5.38505863251e-05,-18569.8999443
1754.20099998,-0.46,19.9993,9.822312e-12,-1.844127087e-05,9.91080277502e-10,-5.37425150625e-05,-18607.2423078
