User: Vannucci

00 Run_Number: 03

01 Time Step: 2
02 Averaging: 1
03 Plot Power Spectrum Every: 1000

04 CurrBias Lock-in Sens: 100e-6
05 Current Bias Resistor: 1.009e9
06 Lock-in Output Voltage: 1
07 Additional Lock-in Volt Gain: 1

08 User: Vannucci
09 Save Name: S-Si0023-V_B1
10 TimeStamp (y/n): y
11 Comments: Measuring Voltage between 24 and 35 while current biasing 36 and 23GND. Lock-in time constant = 1s

Immediately After stepping Gate Voltage from 30V-to-15V.

Collected Data
Time, Gate Voltage, Gate Current, Device Voltage, Device Current, Device Conductane, Device Resistance
s, V, A, V, A, S, Ohms
0.343000173569,14.99922,1.324855e-11,-6.12782361e-05,9.91080277502e-10,-1.61734465706e-05,-61829.7402249
2.34300017357,14.99921,1.496869e-11,-6.1270205e-05,9.91080277502e-10,-1.61755665336e-05,-61821.636845
4.34400010109,14.9992,1.546016e-11,-6.12573182e-05,9.91080277502e-10,-1.61789694134e-05,-61808.6340638
6.34700012207,14.99922,1.398575e-11,-6.12643522e-05,9.91080277502e-10,-1.61771118426e-05,-61815.7313698
8.35199999809,14.99922,1.456849e-11,-6.12947844e-05,9.91080277502e-10,-1.61690800809e-05,-61846.4374596
10.3580000401,14.99922,1.307302e-11,-6.12957323e-05,9.91080277502e-10,-1.61688300362e-05,-61847.3938907
12.3570001125,14.99921,1.489848e-11,-6.13225198e-05,9.91080277502e-10,-1.61617670105e-05,-61874.4224782
14.3589999676,14.99921,1.121246e-11,-6.13429983e-05,9.91080277502e-10,-1.61563716311e-05,-61895.0852847
16.3619999886,14.9992,1.217434e-11,-6.13239816e-05,9.91080277502e-10,-1.61613817571e-05,-61875.8974344
18.3650000095,14.9992,1.618322e-11,-6.13150353e-05,9.91080277502e-10,-1.61637398177e-05,-61866.8706177
20.373000145,14.99919,1.084035e-11,-6.13076447e-05,9.91080277502e-10,-1.61656883469e-05,-61859.4135023
22.373000145,14.99922,1.518634e-11,-6.13008626e-05,9.91080277502e-10,-1.61674768587e-05,-61852.5703634
24.378000021,14.99921,1.201988e-11,-6.13156703e-05,9.91080277502e-10,-1.61635724221e-05,-61867.5113327
26.3819999695,14.99922,1.608494e-11,-6.12794593e-05,9.91080277502e-10,-1.61731237322e-05,-61830.9744337
28.3870000839,14.99919,1.199882e-11,-6.12885428e-05,9.91080277502e-10,-1.61707267333e-05,-61840.1396852
30.3949999809,14.99919,1.338897e-11,-6.12636002e-05,9.91080277502e-10,-1.61773104138e-05,-61814.9726018
32.3949999809,14.99921,1.265879e-11,-6.1299412e-05,9.91080277502e-10,-1.61678594487e-05,-61851.106708
34.4000000954,14.99921,1.538293e-11,-6.13012941e-05,9.91080277502e-10,-1.61673630558e-05,-61853.0057469
36.4030001163,14.99921,1.623236e-11,-6.12831459e-05,9.91080277502e-10,-1.61721508083e-05,-61834.6942131
38.4079999924,14.9992,1.145118e-11,-6.12959871e-05,9.91080277502e-10,-1.61687628243e-05,-61847.6509839
40.4660000801,14.99922,1.513017e-11,-6.12944314e-05,9.91080277502e-10,-1.61691732e-05,-61846.0812826
42.4160001278,14.99919,1.370491e-11,-6.12868505e-05,9.91080277502e-10,-1.6171173252e-05,-61838.4321545
44.4210000038,14.9992,1.507401e-11,-6.12725465e-05,9.91080277502e-10,-1.61749483923e-05,-61823.9994185
46.4230000973,14.9992,1.341705e-11,-6.12636115e-05,9.91080277502e-10,-1.61773074299e-05,-61814.9840035
48.4279999733,14.99921,1.563566e-11,-6.12451249e-05,9.91080277502e-10,-1.61821904865e-05,-61796.3310241
50.4360001087,14.99922,1.259559e-11,-6.1251214e-05,9.91080277502e-10,-1.61805817841e-05,-61802.474926
52.4360001087,14.99922,1.489146e-11,-6.12513018e-05,9.91080277502e-10,-1.61805585902e-05,-61802.5635162
54.4380002022,14.99921,1.398575e-11,-6.12816571e-05,9.91080277502e-10,-1.61725437007e-05,-61833.1920139
56.4409999847,14.99922,1.784696e-11,-6.13121667e-05,9.91080277502e-10,-1.61644960673e-05,-61863.9762003
58.4460000992,14.99919,1.407703e-11,-6.12878319e-05,9.91080277502e-10,-1.61709143035e-05,-61839.4223871
60.4539999962,14.9992,1.512315e-11,-6.12995292e-05,9.91080277502e-10,-1.6167828537e-05,-61851.2249628
62.4539999962,14.9992,1.565672e-11,-6.1303374e-05,9.91080277502e-10,-1.61668145297e-05,-61855.104366
64.4590001106,14.99921,1.421042e-11,-6.13101515e-05,9.91080277502e-10,-1.61650273773e-05,-61861.9428635
66.4610002041,14.99923,1.46036e-11,-6.13264049e-05,9.91080277502e-10,-1.61607431435e-05,-61878.3425441
68.4660000801,14.99921,1.240603e-11,-6.13392309e-05,9.91080277502e-10,-1.61573639408e-05,-61891.2839781
70.4739999771,14.99922,1.626746e-11,-6.13039518e-05,9.91080277502e-10,-1.61666621548e-05,-61855.6873662
72.4739999771,14.9992,1.461062e-11,-6.1300716e-05,9.91080277502e-10,-1.6167515523e-05,-61852.422444
74.4790000916,14.99919,1.548824e-11,-6.13038966e-05,9.91080277502e-10,-1.61666767117e-05,-61855.6316694
76.4839999676,14.99921,1.275006e-11,-6.13437839e-05,9.91080277502e-10,-1.61561647243e-05,-61895.8779551
78.489000082,14.99921,1.661846e-11,-6.13623877e-05,9.91080277502e-10,-1.61512665111e-05,-61914.6491893
80.496999979,14.9992,1.519336e-11,-6.13199819e-05,9.91080277502e-10,-1.61624359107e-05,-61871.8617371
