User: Vannucci

00 Run_Number: 01

01 Start Gate Voltage: 0
02 Step Gate Voltage: 0.05
03 End Gate Voltage: 25
04 Double Linear (y/n): n
05 Turn off Keithley (y/n): n

06 CurrBias Lock-in Sens: 10e-3
07 Current Bias Resistor: 9.958e6
08 Lock-in Output Voltage: 100e-3
09 Additional Lock-in Volt Gain: 1

10 User: Vannucci
11 Save Name: S-SiA0036-V_A3
12 TimeStamp (y/n): y
13 Comments: 

Using Janis System

Gate = J24
Current Out = J25
GND Pin = J22
Voltage + = J19
Voltage - = J23

open = J21

Collected Data
Time, Gate Voltage, Gate Current, Device Voltage, Device Current, Device Conductane, Device Resistance
s, V, A, V, A, S, Ohms
0.565999984741,1.076922e-06,-1.805617e-11,0.000125594472,1.0042177144e-08,7.99571588151e-05,12506.6975218
1.13700008392,0.0499917,2.396268e-11,0.000124466467,1.0042177144e-08,8.06817883246e-05,12394.3707839
2.18899989128,0.09998598,3.133481e-11,0.000124741634,1.0042177144e-08,8.05038127367e-05,12421.7719137
3.07299995422,0.1499883,4.154638e-12,0.000125283248,1.0042177144e-08,8.01557854248e-05,12475.7058358
3.97099995613,0.1999898,2.454542e-11,0.000124621598,1.0042177144e-08,8.05813543171e-05,12409.8187288
4.56900000572,0.2499913,-6.827866e-12,0.000116580754,1.0042177144e-08,8.6139236533e-05,11609.1114833
5.4470000267,0.2999815,2.498775e-11,0.00012358767,1.0042177144e-08,8.12554937236e-05,12306.8601786
6.3259999752,0.3499783,3.555445e-11,0.000125558694,1.0042177144e-08,7.99799426395e-05,12503.1347485
7.21300005913,0.3999702,3.763265e-11,0.000125805308,1.0042177144e-08,7.98231593217e-05,12527.6925706
8.09200000763,0.4499752,-5.198734e-12,0.000124962581,1.0042177144e-08,8.03614735199e-05,12443.773816
9.00600004196,0.4999739,-6.027321e-12,0.00012456284,1.0042177144e-08,8.06193656471e-05,12403.9676072
9.90100002289,0.5499682,3.709203e-11,0.000125133625,1.0042177144e-08,8.02516281615e-05,12460.8063775
10.7799999714,0.6000032,-1.120959e-11,0.000125079846,1.0042177144e-08,8.02861329395e-05,12455.4510647
11.6940000057,0.6499997,-1.087251e-11,0.000124339187,1.0042177144e-08,8.07643783613e-05,12381.6962415
