User: Vannucci

00 Run_Number: 00

01 Start Gate Voltage: 0
02 Step Gate Voltage: 0.025
03 End Gate Voltage: 40
04 Double Linear (y/n): n
05 Turn off Gate Keithley (y/n): n

06 Keithley Device Source Voltage: 10e-3
07 Turn off Device Keithley (y/n): y

08 User: Vannucci
09 Save Name: S-Si0036-V_DeviceA2_Multi
10 TimeStamp (y/n): y
11 Comments: 

Step Lead Gate

Collected Data
Time, Gate Voltage, Gate Current, Device Voltage, Device Current, Device Conductane, Device Resistance
s, V, A, V, A, S, Ohms
0.532999992371,-1.974378e-05,2.111459e-10,0.009998904,-4.779684e-13,-4.78020791079e-11,-20919592173.9
0.830999851227,0.02497994,-9.966291e-11,0.009997677,-1.12392e-12,-1.12418114728e-10,-8895363549.01
1.43699979782,0.04998055,1.962044e-10,0.009997632,-1.446895e-12,-1.44723770589e-10,-6909714941.31
2.04299998283,0.07499728,-2.271652e-10,0.009997362,-1.453894e-12,-1.45427763844e-10,-6876266082.67
2.64899992943,0.09996039,1.829971e-10,0.009997582,-1.840068e-12,-1.84051303605e-10,-5433267683.59
3.2539999485,0.124999,-7.153352e-11,0.009998692,-2.970499e-12,-2.9708875921e-10,-3365997430.06
3.8599998951,0.1499652,-4.898647e-11,0.009997442,-1.924329e-12,-1.92482136931e-10,-5195287292.35
4.46599984169,0.1749832,1.706466e-10,0.009996819,-1.488998e-12,-1.48947180098e-10,-6713789407.37
5.07199978828,0.1999934,-2.22882e-10,0.009997932,-1.910295e-12,-1.91069013072e-10,-5233711023.69
5.3679997921,0.2249571,2.18371e-10,0.009997453,-1.489007e-12,-1.4893863467e-10,-6714174614.36
5.97299981117,0.24999,-1.150127e-10,0.009997331,-2.008588e-12,-2.00912423526e-10,-4977293003.84
6.57899999619,0.2749521,2.813522e-12,0.009997958,-2.127945e-12,-2.12837961512e-10,-4698409968.3
7.18499994278,0.2999687,1.27521e-10,0.00999769,-1.678595e-12,-1.67898284504e-10,-5955987001.03
7.79099988937,0.3249623,-1.956793e-10,0.009996818,-2.092843e-12,-2.09350915461e-10,-4776668866.23
8.39699983597,0.349972,2.402145e-10,0.009997771,-1.41178e-12,-1.41209475592e-10,-7081677740.16
9.00199985504,0.3750044,-1.810248e-10,0.009998983,-1.854111e-12,-1.85429958227e-10,-5392871839.93
9.60799980164,0.3999549,9.556671e-11,0.009997991,-1.467963e-12,-1.46825797303e-10,-6810792233.86
10.2139999866,0.4249834,5.457582e-11,0.009997367,-2.528144e-12,-2.52880983563e-10,-3954429415.41
10.8189997673,0.4499631,-1.481064e-10,0.009996055,-1.313482e-12,-1.31400037315e-10,-7610347914.93
11.4249999523,0.4749473,2.368089e-10,0.009998418,-1.804976e-12,-1.80526159238e-10,-5539363404.28
12.0319998264,0.4999726,-2.042388e-10,0.009998716,-1.811993e-12,-1.81222568978e-10,-5518076504.71
12.637999773,0.5249606,1.657595e-10,0.00999806,-1.474978e-12,-1.47526420126e-10,-6778446864.97
13.243999958,0.5499898,4.607289e-11,0.009997989,-2.647518e-12,-2.64805052296e-10,-3776362993.57
13.8499999046,0.5749753,-1.450449e-10,0.009996205,-2.345608e-12,-2.34649849618e-10,-4261669042.74
14.4549999237,0.5999625,2.363596e-10,0.00999875,-2.163037e-12,-2.16330741343e-10,-4622551532.87
15.0609998703,0.624985,-1.978488e-10,0.009996854,-2.619424e-12,-2.62024833012e-10,-3816432162.19
15.6669998169,0.6499432,1.453412e-10,0.009998773,-2.528155e-12,-2.52846524269e-10,-3954968346.48
16.2729997635,0.67497,1.29811e-11,0.0099984,-1.257314e-12,-1.25751520243e-10,-7952190145.02
16.8789999485,0.6999511,-1.540536e-10,0.009997101,-2.556238e-12,-2.55697926829e-10,-3910864716.04
17.4849998951,0.7249732,2.364437e-10,0.009996783,-1.868155e-12,-1.86875617886e-10,-5351152875.43
18.0919997692,0.7499914,-2.013245e-10,0.009997887,-1.390721e-12,-1.39101492145e-10,-7188995492.27
18.6969997883,0.7749445,1.508881e-10,0.009997974,-2.071779e-12,-2.07219882748e-10,-4825791747.09
19.3029999733,0.7999772,-1.452332e-11,0.009999434,-1.875167e-12,-1.87527314046e-10,-5332556513.63
19.9089999199,0.8249496,-8.891947e-11,0.009997331,-1.987525e-12,-1.98805561204e-10,-5030040376.85
20.513999939,0.8499423,2.157656e-10,0.009997924,-2.275381e-12,-2.27585346718e-10,-4393956001.21
21.1209998131,0.8749581,-2.145115e-10,0.009997308,-1.250283e-12,-1.25061966681e-10,-7996036097.43
21.7259998322,0.8999463,1.936132e-10,0.009997961,-1.594341e-12,-1.59466615243e-10,-6270905032.24
22.3319997787,0.9249899,-5.29115e-11,0.009998496,-2.008576e-12,-2.00887813527e-10,-4977902753.0
22.9389998913,0.9499567,-9.401732e-11,0.009997523,-1.987511e-12,-1.98800342845e-10,-5030172411.62
23.5439999104,0.9749537,2.219655e-10,0.009997624,-2.015598e-12,-2.0160770199e-10,-4960127962.02
24.1509997845,0.9999688,-2.071806e-10,0.009997622,-2.577289e-12,-2.5779020251e-10,-3879123373.44
24.7559998035,1.024928,1.925669e-10,0.00999674,-2.008579e-12,-2.00923401029e-10,-4977021068.13
25.3609998226,1.049966,-6.757307e-11,0.009997802,-1.875182e-12,-1.87559425562e-10,-5331643541.8
25.9679999352,1.074923,-1.219909e-11,0.009997505,-2.338588e-12,-2.33917162332e-10,-4275017660.23
26.5729999542,1.09997,1.679921e-10,0.00999783,-1.439869e-12,-1.44018151939e-10,-6943569171.92
27.1789999008,1.124962,-1.947239e-10,0.009998153,-1.819005e-12,-1.81934103229e-10,-5496495611.61
27.7849998474,1.149933,2.3987e-10,0.009996974,-1.783908e-12,-1.78444797396e-10,-5603973971.75
28.390999794,1.174964,-1.154548e-10,0.009998312,-2.345599e-12,-2.34599500396e-10,-4262583672.66
28.996999979,1.199923,3.408036e-11,0.009998974,-1.439873e-12,-1.44002074613e-10,-6944344397.04
29.6029999256,1.224938,1.317618e-10,0.00999943,-2.366668e-12,-2.36680290777e-10,-4225108887.26
30.2089998722,1.249937,-1.863048e-10,0.009998402,-1.685613e-12,-1.68588240401e-10,-5931611823.12
30.8149998188,1.274951,2.465473e-10,0.009998657,-1.348591e-12,-1.3487721401e-10,-7414150769.21
31.4209997654,1.299974,-1.614898e-10,0.009998858,-1.460932e-12,-1.46109885749e-10,-6844163862.52
32.0269999504,1.324929,7.890483e-11,0.009997793,-1.685596e-12,-1.68596809316e-10,-5931310349.57
32.632999897,1.349952,9.91474e-11,0.009997725,-2.247298e-12,-2.24780937663e-10,-4448775818.78
33.2389998436,1.374939,-1.719874e-10,0.009996945,-1.854119e-12,-1.85468560645e-10,-5391749396.88
33.8439998627,1.399917,2.515747e-10,0.009998083,-1.439862e-12,-1.44013807447e-10,-6943778639.9
34.4509999752,1.424943,-1.778997e-10,0.009998905,-1.643491e-12,-1.64367098197e-10,-6083942656.21
35.0559999943,1.449908,1.331801e-10,0.009998585,-2.886231e-12,-2.88663945948e-10,-3464235884.1
35.6619999409,1.474967,1.590901e-11,0.00999767,-1.854114e-12,-1.85454610924e-10,-5392154959.19
36.2679998875,1.499935,-1.129339e-10,0.009996388,-2.071779e-12,-2.07252759697e-10,-4825026221.43
36.8729999065,1.524925,2.332275e-10,0.009997874,-2.479008e-12,-2.47953514917e-10,-4033014012.06
37.4789998531,1.549947,-2.056076e-10,0.009997251,-1.608364e-12,-1.60880626084e-10,-6215788838.84
38.0859999657,1.574902,1.999392e-10,0.0099978,-1.896245e-12,-1.8966622657e-10,-5272419966.83
38.6899998188,1.599935,-1.350666e-10,0.009998211,-2.268361e-12,-2.2687668824e-10,-4407680699.85
39.2959997654,1.624897,6.691932e-11,0.009997745,-1.531147e-12,-1.53149235153e-10,-6529578805.95
39.9019999504,1.649953,8.909277e-11,0.00999824,-1.79092e-12,-1.79123525741e-10,-5582739597.53
40.507999897,1.674941,-1.565954e-10,0.00999741,-2.141979e-12,-2.14253391628e-10,-4667370688.51
41.1139998436,1.699922,2.482604e-10,0.009997289,-1.664549e-12,-1.6650003816e-10,-6006004629.48
41.7189998627,1.724949,-1.861992e-10,0.009997195,-1.664535e-12,-1.66500203307e-10,-6005998672.3
42.3249998093,1.749901,1.269169e-10,0.009998379,-2.471971e-12,-2.47237177146e-10,-4044699148.98
42.9319999218,1.774935,5.631e-11,0.009996455,-1.755818e-12,-1.75644065821e-10,-5693332110.73
43.5379998684,1.799912,-1.276586e-10,0.009997557,-1.362634e-12,-1.36296697283e-10,-7336934936.31
44.143999815,1.824897,2.473964e-10,0.009996992,-2.703669e-12,-2.70448250834e-10,-3697565049.57
44.75,1.849954,-1.799499e-10,0.009997766,-1.748764e-12,-1.74915476117e-10,-5717047011.49
45.3549997807,1.874909,1.246349e-10,0.009999143,-2.085818e-12,-2.08599676992e-10,-4793871277.36
45.9609999657,1.899944,5.151439e-11,0.009998124,-2.25432e-12,-2.25474298978e-10,-4435095283.72
46.5679998398,1.924915,-1.164027e-10,0.009997615,-1.376677e-12,-1.37700541579e-10,-7262135562.66
47.1729998589,1.949909,2.433314e-10,0.009998121,-1.71368e-12,-1.71400206099e-10,-5834298702.21
47.7789998055,1.974922,-1.941338e-10,0.009998418,-3.195146e-12,-3.19565155208e-10,-3129252309.6
48.3849999905,1.999895,1.586114e-10,0.009997113,-2.275385e-12,-2.27604209335e-10,-4393591853.69
48.9909999371,2.02492,2.100652e-11,0.009998294,-2.22623e-12,-2.22660985964e-10,-4491132542.46
49.5969998837,2.049922,-9.916399e-11,0.00999739,-1.496019e-12,-1.4964095629e-10,-6682662452.82
50.2029998302,2.074917,2.385496e-10,0.009997273,-2.542197e-12,-2.54289044622e-10,-3932532765.95
50.8089997768,2.09994,-2.039433e-10,0.00999784,-2.254322e-12,-2.25480903875e-10,-4434965368.75
