User: Vannucci

00 Run_Number: 05

01 Start Gate Voltage: 0
02 Step Gate Voltage: 0.025
03 End Gate Voltage: 30
04 Double Linear (y/n): y
05 Turn off Gate Keithley (y/n): n

06 Keithley Device Source Voltage: 500e-6
07 Turn off Device Keithley (y/n): y

08 User: Vannucci
09 Save Name: S-Si0036-V_DeviceA2_Multi
10 TimeStamp (y/n): y
11 Comments: 


20V on Lead Gates J11, J21

Sweeping Gate on J24

Source Voltage = 500uV
Current Sense High = J23
Current Sense Low = J16
Voltage Force High = J17
Voltage Force Low = J8

Collected Data
Time, Gate Voltage, Gate Current, Device Voltage, Device Current, Device Conductane, Device Resistance
s, V, A, V, A, S, Ohms
1.19400000572,0.0003145976,-7.21494e-09,9.91e+37,-1.704366e-07,-1.71984460141e-45,-5.814478815e+44
2.71099996567,0.0245252,5.894185e-10,9.91e+37,-1.117589e-08,-1.12773864783e-46,-8.86730273831e+45
4.24199986458,0.05019255,-7.133192e-09,9.91e+37,2.66989e-07,2.69413723512e-45,3.71176340598e+44
5.29399991035,0.07429894,1.625375e-08,9.91e+37,-3.437314e-07,-3.46853077699e-45,-2.88306509094e+44
6.14400005341,0.1006448,-1.550339e-08,9.91e+37,-1.824949e-07,-1.84152270434e-45,-5.43028873684e+44
7.6740000248,0.1252019,-6.885231e-09,9.91e+37,2.826958e-07,2.85263168517e-45,3.50553492482e+44
8.23000001907,0.1494066,1.553324e-08,9.91e+37,1.313676e-07,1.32560645812e-45,7.54371702003e+44
9.73199987411,0.1748841,1.634219e-09,-0.01748247,-7.269261e-08,4.15802858521e-06,240498.587133
11.0939998627,0.2001773,-7.926419e-09,9.91e+37,2.414923e-07,2.43685469223e-45,4.10365050977e+44
12.1610000134,0.224444,1.011354e-08,9.91e+37,-2.743643e-07,-2.76856004036e-45,-3.61198596173e+44
13.0099999905,0.2504216,-1.282493e-08,0.01641368,-1.850729e-07,-1.12755274868e-05,-88687.6468678
14.1859998703,0.3674266,-1.670074e-09,9.91e+37,-1.768872e-07,-1.78493642785e-45,-5.60244042531e+44
16.0379998684,0.2997957,-2.689156e-09,-0.0104809,-1.165105e-07,1.11164594644e-05,89956.6991816
17.739000082,0.3251917,-6.881173e-09,9.91e+37,-3.451912e-07,-3.48326135217e-45,-2.87087272213e+44
18.5899999142,0.3503983,-1.266878e-08,9.91e+37,-1.831193e-07,-1.8478234107e-45,-5.41177254391e+44
19.7649998665,0.4668257,-1.607541e-09,-0.005074926,-1.568034e-07,3.08976722025e-05,32364.8976999
21.0160000324,0.3599552,5.997463e-10,9.91e+37,2.784685e-07,2.80997477296e-45,3.55875081024e+44
22.4219999313,0.424483,1.372255e-08,9.91e+37,2.176559e-07,2.1963259334e-45,4.55305829063e+44
22.9779999256,0.4493161,1.174052e-08,9.91e+37,-1.869242e-07,-1.88621796165e-45,-5.30161423721e+44
24.1859998703,0.4744301,9.494862e-09,9.91e+37,-2.548043e-07,-2.57118365288e-45,-3.88925932569e+44
25.3940000534,0.4995698,6.548392e-09,9.91e+37,-3.123357e-07,-3.15172250252e-45,-3.17286816717e+44
26.6029999256,0.5247583,3.725149e-09,9.91e+37,-3.42048e-07,-3.45154389506e-45,-2.89725418655e+44
27.4519999027,0.5503834,-1.248301e-08,9.91e+37,-1.838875e-07,-1.85557517659e-45,-5.38916457073e+44
28.626999855,0.6514572,-9.897645e-10,9.91e+37,-1.773854e-07,-1.78996367306e-45,-5.5867055575e+44
30.4800000191,0.5996767,-1.051213e-09,9.91e+37,-1.850599e-07,-1.86740565086e-45,-5.35502288718e+44
31.6549999714,0.6946613,-5.27932e-10,9.91e+37,-4.025588e-08,-4.06214732593e-46,-2.46175217136e+45
32.9070000648,0.6004634,9.563841e-10,9.91e+37,2.624831e-07,2.64866902119e-45,3.77548116431e+44
34.3120000362,0.6744643,1.520857e-08,9.91e+37,1.803088e-07,1.81946316852e-45,5.49612664496e+44
34.8669998646,0.6993652,1.088523e-08,9.91e+37,-2.013039e-07,-2.03132088799e-45,-4.92290512007e+44
36.0750000477,0.7243051,1.218059e-08,9.91e+37,-1.506306e-07,-1.51998587286e-45,-6.57900851487e+44
37.7760000229,0.7492415,1.366586e-08,-0.01757552,2.583138e-07,-1.46973631506e-05,-68039.4156255
38.3329999447,0.7745294,1.31501e-08,9.91e+37,2.310969e-07,2.33195660949e-45,4.28824445503e+44
39.381000042,0.7992461,1.48812e-08,9.91e+37,2.513709e-07,2.53653784057e-45,3.9423815565e+44
40.882999897,0.8256651,-1.08649e-08,9.91e+37,-1.865074e-07,-1.88201210898e-45,-5.31346209319e+44
42.7079999447,0.8501285,-7.598501e-09,9.91e+37,2.767659e-08,2.79279414733e-46,3.58064342464e+45
43.8840000629,0.9565505,-1.105376e-09,9.91e+37,-1.786047e-07,-1.80226740666e-45,-5.54856619115e+44
45.736000061,0.8997031,8.203958e-09,0.01414824,-1.868444e-07,-1.32061938446e-05,-75722.0446532
47.5599999428,0.9251291,-7.861187e-09,9.91e+37,2.057179e-08,2.0758617558e-46,4.81727647424e+45
48.736000061,1.030149,-1.098412e-09,9.91e+37,-5.261351e-08,-5.30913319879e-46,-1.8835466404e+45
50.6340000629,0.9746545,5.353157e-09,9.91e+37,2.676398e-07,2.70070433905e-45,3.70273778414e+44
51.8429999352,1.000538,-9.992672e-09,9.91e+37,2.015408e-07,2.03371140262e-45,4.91711851893e+44
53.3439998627,1.025639,-1.422647e-08,9.91e+37,5.378796e-09,5.42764480323e-47,1.84241975342e+46
55.1679999828,1.050032,-5.679543e-09,9.91e+37,-1.772545e-07,-1.78864278507e-45,-5.59083126239e+44
56.993999958,1.074484,-4.583436e-11,-0.001451508,-1.458302e-07,0.000100468064937,9953.41157044
58.8180000782,1.099799,-3.208031e-09,9.91e+37,-1.782603e-07,-1.79879212916e-45,-5.55928605528e+44
60.6419999599,1.1245,1.23558e-09,9.91e+37,-1.803577e-07,-1.81995660949e-45,-5.49463649182e+44
62.4670000076,1.149539,1.819522e-09,9.91e+37,-1.785117e-07,-1.80132896065e-45,-5.55145685129e+44
64.2920000553,1.174572,3.159945e-09,9.91e+37,-1.777602e-07,-1.7937457114e-45,-5.57492622083e+44
66.1159999371,1.199654,4.668868e-09,9.91e+37,-1.79901e-07,-1.8153481332e-45,-5.50858527746e+44
67.4769999981,1.224809,6.777747e-09,9.91e+37,-1.627642e-07,-1.64242381433e-45,-6.08856247258e+44
69.1779999733,1.249311,1.587259e-08,9.91e+37,2.638875e-07,2.66284056509e-45,3.75538818625e+44
70.6800000668,1.275678,-1.311501e-08,-0.0199833,1.308332e-08,-6.54712685092e-07,-1527387.54383
72.5509998798,1.299674,5.330693e-09,9.91e+37,2.609977e-07,2.63368012109e-45,3.79696832577e+44
74.0529999733,1.325693,-1.337611e-08,-0.01998406,-8.355774e-09,4.18121943189e-07,2391646.78221
75.9229998589,1.349686,6.243947e-09,9.91e+37,6.492804e-08,6.55176992936e-46,1.52630512179e+45
76.7749998569,1.375678,-1.176935e-08,9.91e+37,-1.773044e-07,-1.78914631685e-45,-5.5892577962e+44
78.4419999123,1.332547,1.548236e-09,9.91e+37,-1.8024e-07,-1.81876892028e-45,-5.49822458944e+44
80.4219999313,1.425185,-4.808482e-09,9.91e+37,-3.294887e-07,-3.32481029263e-45,-3.00769040031e+44
