User Name: B 
Edit Time: 2016-11-17 13:20:13.825000 
Yokogawa1 Visa Address: USB0::0x0B21::0x0039::91PB22418::INSTR 
Yokogawa1 Visa Name: YOKOGAWA,GS210,91PB22418,2.02 
Agilent1 Visa Address: USB0::0x0957::0x1B07::MY53100582::INSTR 
Agilent1 Visa Name: Agilent Technologies,34460A,MY53100582,A.01.08-02.22-00.08-00.35-01-01 
Yokogawa2 Visa Address: USB0::0x0957::0x1B07::MY53100582::INSTR 
Yokogawa2 Visa Name:  
Agilent2 Visa Address: USB0::0x0957::0x1B07::MY53100582::INSTR 
Agilent2 Visa Name:  
Yokogawa3 Visa Address: USB0::0x0957::0x1B07::MY53100582::INSTR 
Yokogawa3 Visa Name:  
Agilent3 Visa Address: USB0::0x0957::0x1B07::MY53100582::INSTR 
Agilent3 Visa Name:  
Yokogawa_magnet Visa Address: USB0::0x0B21::0x0039::91PB22421::INSTR 
Yokogawa_magnet Visa Name: YOKOGAWA,GS210,91PB22421,2.02 
Comments:  
 
00 Run_Number: 01 
01 Field TimeStep(s): 1 
02 Field Sweep Start (mA): -13.66 
03 Field Sweep Stop (mA): 200 
04 Field Sweep Step (mA): 2.27 
05 Yokogawa Ramp TimeStep(s): 0.2 
06 Yokogawa Collect TimeStep(s): 1.8 
 
07 Device 1 Measure (y/n): y 
08 Lock-in Sense: 200e-6 
09 Pre-Amp Gain: 100 
10 Lock-in Resistor(Ohms): 1e6 
11 Yokogawa Resistor(Ohms): 1e5 
12 Output Voltage(mV): 50 
13 Initial Ramp Start(mV): 0 
14 Initial Ramp End(mV): -5000 
15 Initial Ramp Step(mV): -100 
16 Collecting Start(mV): -5000 
17 Collecting Stop(mV): 5000 
18 Collecting Step(mV): 100 
19 Final Ramp Start(mV): 5000 
20 Final Ramp Stop(mV): 0 
21 Final Ramp Step(mV): -100 
22 File Name: Device4 
 
Magnet field (mT): -1.5010989011 

Collected Data
Date,Time,Step,Current,Resistance
String,s,1,Amps,Ohms
2016-11-17 13:20:13,1.79999995232,0,-5e-05,-0.001568584368
2016-11-17 13:20:15,1.79999995232,1,-4.9e-05,-0.001320103376
2016-11-17 13:20:17,1.80000019073,2,-4.8e-05,-0.000743987956
2016-11-17 13:20:19,1.80099987984,3,-4.7e-05,-0.001240571196
2016-11-17 13:20:22,1.79999995232,4,-4.6e-05,-0.001263556704
2016-11-17 13:20:24,1.80000019073,5,-4.5e-05,-0.00060841294
2016-11-17 13:20:26,1.79999995232,6,-4.4e-05,-0.000842694876
2016-11-17 13:20:28,1.80000019073,7,-4.3e-05,-0.001678547524
2016-11-17 13:20:30,1.79999995232,8,-4.2e-05,-0.000585877088
2016-11-17 13:20:32,1.80099987984,9,-4.1e-05,-0.000506869248
2016-11-17 13:20:34,1.80000019073,10,-4e-05,-0.0002719500588
2016-11-17 13:20:37,1.79999995232,11,-3.9e-05,-0.000687173572
2016-11-17 13:20:39,1.79999995232,12,-3.8e-05,-0.001398390532
2016-11-17 13:20:41,1.79999995232,13,-3.7e-05,-0.000566241616
2016-11-17 13:20:43,1.79999995232,14,-3.6e-05,-0.001082532684
2016-11-17 13:20:45,1.79999995232,15,-3.5e-05,-0.001174406128
2016-11-17 13:20:47,1.79999995232,16,-3.4e-05,-0.001474382312
2016-11-17 13:20:49,1.79999995232,17,-3.3e-05,-0.001706057732
2016-11-17 13:20:52,1.79999995232,18,-3.2e-05,-0.000670465404
2016-11-17 13:20:54,1.79999995232,19,-3.1e-05,-0.001150952792
2016-11-17 13:20:56,1.80000019073,20,-3e-05,-0.001539196532
2016-11-17 13:20:58,1.79999995232,21,-2.9e-05,-0.0011874642
2016-11-17 13:21:0,1.80000019073,22,-2.8e-05,-0.001048950132
2016-11-17 13:21:2,1.80100011826,23,-2.7e-05,-0.001051633772
2016-11-17 13:21:4,1.79999995232,24,-2.6e-05,-0.00099398512
2016-11-17 13:21:6,1.80000019073,25,-2.5e-05,-0.000518792212
2016-11-17 13:21:9,1.79999995232,26,-2.4e-05,-0.000635479812
2016-11-17 13:21:11,1.79999995232,27,-2.3e-05,-0.001243825272
2016-11-17 13:21:13,1.79999995232,28,-2.2e-05,-0.000742538712
